0	43397
1	13140
2	35793
3	28379
4	29605
5	28100
6	27712
7	3205
8	22684
9	10246
10	5730
11	13109
12	41163
13	29036
14	27400
15	1171
16	39862
17	35878
18	30363
19	8758
20	39205
21	27141
22	12376
23	11929
24	41758
25	11190
26	16432
27	24608
28	26700
29	16202
30	16410
31	7876
32	23528
33	34703
34	28183
35	42622
36	43004
37	21302
38	39504
39	42462
40	34355
41	1216
42	33822
43	11509
44	21586
45	33698
46	14356
47	16923
48	23688
49	11855
50	38806
51	41701
52	37850
53	18245
54	33682
55	3618
56	35849
57	23602
58	35200
59	32159
60	13420
61	45176
62	3054
63	31652
64	16223
65	38041
66	19609
67	7222
68	24166
69	41363
70	12961
71	24225
72	27375
73	483
74	47519
75	37848
76	2402
77	5412
78	33832
79	45480
80	21585
81	20881
82	8006
83	44793
84	29517
85	29929
86	29100
87	29658
88	5697
89	38761
90	46256
91	41491
92	8618
93	42839
94	3244
95	17383
96	10165
97	9373
98	10907
99	13773
100	21647
101	5061
102	44253
103	45853
104	6833
105	2216
106	13431
107	24975
108	22373
109	36635
110	1099
111	7485
112	26256
113	36156
114	24695
115	1885
116	13689
117	389
118	9187
119	27888
120	41284
121	28583
122	9153
123	32424
124	42346
125	36479
126	19455
127	3394
128	11862
129	36848
130	15614
131	42220
132	29403
133	12165
134	29284
135	1125
136	24837
137	8449
138	45129
139	34216
140	36187
141	36376
142	30328
143	34115
144	13075
145	36607
146	7123
147	46640
148	37386
149	30777
150	13491
151	2165
152	29266
153	44733
154	10640
155	18599
156	6921
157	26739
158	22617
159	11360
160	7938
161	42952
162	33300
163	9102
164	15054
165	34989
166	112
167	41700
168	24258
169	6769
170	9392
171	40734
172	16747
173	22911
174	808
175	10044
176	21640
177	39217
178	24911
179	15850
180	34404
181	29450
182	35664
183	47707
184	27213
185	4891
186	36794
187	8013
188	34310
189	9002
190	7422
191	3274
192	21961
193	38200
194	3004
195	35824
196	18286
197	18884
198	44222
199	18210
200	25312
201	13681
202	2363
203	39802
204	42576
205	8732
206	2480
207	22013
208	39972
209	32750
210	10848
211	1891
212	22764
213	9412
214	35022
215	27201
216	13415
217	25765
218	38480
219	863
220	28106
221	40721
222	11995
223	12813
224	47319
225	9722
226	9819
227	45435
228	29039
229	13181
230	13709
231	28876
232	47175
233	42405
234	42835
235	28908
236	28591
237	32142
238	19498
239	8764
240	28260
241	31785
242	11702
243	34768
244	347
245	38017
246	38404
247	38624
248	34953
249	22513
250	40210
251	19375
252	20875
253	25521
254	43703
255	30211
256	11489
257	227
258	35143
259	18193
260	10606
261	14304
262	46681
263	38100
264	8741
265	11261
266	28204
267	29842
268	29179
269	2147
270	23769
271	3950
272	1245
273	38634
274	22832
275	25435
276	16030
277	32242
278	21523
279	5340
280	35765
281	3940
282	20640
283	26882
284	34290
285	26266
286	35064
287	10413
288	3203
