5,CIDEA,1149
24,SMURF2,64750
32,PSMA4,5685
35,SCOC,60592
39,GRIA3,2892
41,IGFBP7,3490
45,SART1,9092
50,B4GALT3,8703
57,MT4,84560
64,CUX1,1523
65,KRAS,3845
68,LTBP4,8425
75,CHEK2,11200
82,HADH,3033
92,CENPO,79172
98,CNOT1,23019
104,PRMT1,3276
105,SMC1A,8243
108,ILF2,3608
113,OPRD1,4985
124,UBE2G1,7326
129,CTNND1,1500
131,ABCA3,21
132,DSN1,79980
143,NXT1,29107
167,RPS11,6205
168,EXOSC1,51013
170,SNU13,4809
171,POLB,5423
175,ZNF227,7770
177,YWHAE,7531
184,PRDX3,10935
188,MCM10,55388
200,UCN,7349
206,IL24,11009
220,ALK,238
235,TIMM17A,10440
244,KDM1A,23028
248,DPYS,1807
252,GPX8,493869
269,BTK,695
270,PBX1,5087
284,RECK,8434
287,SIGLEC8,27181
296,GPRIN1,114787
308,EIF3D,8664
309,BSG,682
310,AADAT,51166
321,APC,324
342,CRABP2,1382
343,EFNA3,1944
345,GOLGA4,2803
349,RABGGTB,5876
353,PTPN3,5774
354,AK1,203
368,RRAGA,10670
385,LUC7L3,51747
395,FBP2,8789
400,MYH9,4627
413,FERMT2,10979
427,CYFIP2,26999
429,ZNF689,115509
440,MRPL23,6150
449,ATF6,22926
450,IDH1,3417
459,NDE1,54820
466,PRPF38A,84950
467,HDGF,3068
469,TIMP2,7077
477,LRP2,4036
478,DDX23,9416
507,FER,2241
518,RAD51AP1,10635
521,UTP11,51118
527,EIF5,1983
528,NR4A1,3164
556,CDS1,1040
568,SMAD4,4089
572,TSPAN33,340348
579,STAR,6770
580,CA9,768
594,RAB14,51552
611,RPL7,6129
614,ELOA,6924
616,PKD2,5311
619,CHSY3,337876
627,SARS2,54938
630,SLCO1C1,53919
632,CAND1,55832
637,MICU1,10367
663,DFFB,1677
675,NSD1,64324
678,MST1R,4486
679,VPS41,27072
689,PFDN2,5202
701,PARP2,10038
710,GPLD1,2822
723,EIF2S2,8894
730,CYP27A1,1593
746,EIF3J,8669
748,TOR1AIP1,26092
770,HNRNPH1,3187
771,CIAO3,64428
772,NOXA1,10811
774,UBE2V2,7336
777,DSCAM,1826
781,LAMC1,3915
806,AP3B1,8546
813,DAPK1,1612
819,LY6G6C,80740
825,LHX2,9355
830,GRM5,2915
835,THOC3,84321
844,TPCN1,53373
846,SMYD3,64754
854,SPTLC1,10558
859,BCAR1,9564
867,LIN37,55957
870,LMAN1,3998
884,PGF,5228
891,SAP18,10284
932,TSN,7247
936,CACNG8,59283
939,GNA12,2768
948,ANK1,286
952,ANXA6,309
963,TNFSF8,944
966,PABPC1,26986
974,PTGES3,10728
977,PRKCH,5583
991,KREMEN1,83999
1002,ACLY,47
1006,KIF1B,23095
1007,EBAG9,9166
1016,ADM,133
1026,CHIA,27159
1027,P3H1,64175
1044,IZUMO1,284359
1049,DHX37,57647
1050,IFNA21,3452
1051,MTMR1,8776
1089,APOBEC3C,27350
1090,TUBGCP4,27229
1098,MTNR1B,4544
1108,TENT4A,11044
1122,SLC22A13,9390
1128,SLC16A10,117247
1130,ARHGDIG,398
1131,IFNGR1,3459
1132,MELTF,4241
1133,DTL,51514
1134,UCK1,83549
1141,PCK2,5106
1146,MDM2,4193
1149,POMT2,29954
1158,NAT10,55226
1167,TIFA,92610
1169,FBP1,2203
1170,MED30,90390
1179,ALS2CL,259173
1182,TGFA,7039
1183,PSME1,5720
1199,CSF3,1440
1216,NTRK2,4915
1223,MCL1,4170
1229,TAS1R1,80835
1230,ITGA3,3675
1231,CITED2,10370
1235,MRPS36,92259
1249,YWHAQ,10971
1260,RPS14,6208
1261,RNF43,54894
1262,TTC37,9652
1264,ACY1,95
1270,COPE,11316
1297,CHST5,23563
1304,BNIP3L,665
1305,MRPS26,64949
1312,H3C8,8355
1317,CASP9,842
1328,SSBP1,6742
1330,MORF4L2,9643
1334,SEC31A,22872
1343,FBXL18,80028
1356,PTGR1,22949
1362,GNPDA1,10007
1370,SERPINB3,6317
1371,DEFB118,117285
1376,KISS1R,84634
1378,MAPKAPK3,7867
1383,GLB1,2720
1387,NFS1,9054
1389,IMP4,92856
1390,CNOT11,55571
1402,C7,730
1408,GPX6,257202
1409,ALYREF,10189
1422,ACAD8,27034
1425,PPAT,5471
1429,INMT,11185
1439,FUCA2,2519
1446,NIPAL2,79815
1447,ASB7,140460
1449,SF3B6,51639
1453,ARIH2,10425
1464,CES1,1066
1471,CD28,940
1475,LRRTM3,347731
1487,LMBRD1,55788
1491,ERLEC1,27248
1522,TMPO,7112
1523,OR4C3,256144
1526,DNAJC7,7266
1542,DCTN5,84516
1545,CD63,967
1548,WDR82,80335
1549,TAF11,6882
1558,STX3,6809
1571,RBCK1,10616
1575,FAAP100,80233
1579,USP37,57695
1580,ORM1,5004
1581,ITPK1,3705
1588,RNASE2,6036
1599,NLRC4,58484
1600,TAB3,257397
1611,TBC1D4,9882
1618,TTLL3,26140
1620,GPX2,2877
1622,BAG3,9531
1637,CLU,1191
1649,ZNF701,55762
1656,VTI1A,143187
1657,LMO7,4008
1662,ZNF212,7988
1665,SYF2,25949
1670,MAPK10,5602
1694,RALGAPB,57148
1696,ATP5PO,539
1712,VEGFB,7423
1735,USP13,8975
1737,EIF3I,8668
1738,DENND1B,163486
1768,CENPI,2491
1780,ATG101,60673
1785,DIABLO,56616
1787,BTN3A2,11118
1789,TEAD4,7004
